RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [34%@1803,29%@1803,23%@1800,25%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 97%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@43C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7474 CPU 1077/1194 SOC 4307/4378 CV 0/0 VDDRQ 2307/2302 SYS5V 4702/4689
RAM 5595/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [33%@1190,31%@1190,26%@1190,23%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@46C Tdiode@44C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7696/7480 CPU 1231/1195 SOC 4306/4376 CV 0/0 VDDRQ 2307/2302 SYS5V 4662/4688
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [33%@1190,25%@1190,28%@1190,25%@1190,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7545/7482 CPU 1077/1192 SOC 4307/4374 CV 0/0 VDDRQ 2308/2303 SYS5V 4662/4687
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1803,30%@1625,30%@1572,29%@1744,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@43C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7542/7484 CPU 1231/1193 SOC 4459/4377 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4687
RAM 5594/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [29%@1758,28%@1727,29%@1704,25%@1703,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.65C Tboard@39C GPU 7388/7481 CPU 1231/1194 SOC 4461/4379 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4688
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [22%@1647,27%@1647,28%@1647,27%@1620,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@39.85C Tboard@39C GPU 7391/7479 CPU 1077/1191 SOC 4461/4381 CV 0/0 VDDRQ 2308/2303 SYS5V 4702/4688
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [28%@1803,29%@1803,31%@1803,28%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38C CPU@40C thermal@39.85C Tboard@39C GPU 7388/7477 CPU 1231/1192 SOC 4461/4383 CV 0/0 VDDRQ 2308/2303 SYS5V 4702/4689
RAM 5595/31919MB (lfb 3913x4MB) SWAP 0/15959MB (cached 0MB) CPU [35%@1803,24%@1803,25%@1803,21%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40.5C thermal@39.85C Tboard@39C GPU 7388/7474 CPU 1231/1193 SOC 4461/4385 CV 0/0 VDDRQ 2308/2303 SYS5V 4662/4688
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [26%@1803,28%@1803,31%@1803,29%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@41.5C iwlwifi@44C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40C thermal@39.8C Tboard@40C GPU 7542/7476 CPU 1231/1194 SOC 4459/4387 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4688
RAM 5584/31919MB (lfb 3914x4MB) SWAP 0/15959MB (cached 0MB) CPU [27%@1804,26%@1803,36%@1803,18%@1803,off,off,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 3% AO@38C GPU@41.5C iwlwifi@43C Tdiode@44.25C PMIC@100C AUX@38.5C CPU@40.5C thermal@39.85C Tboard@40C GPU 7388/7474 CPU 1231/1195 SOC 4461/4388 CV 0/0 VDDRQ 2307/2303 SYS5V 4702/4688
