RAM 5532/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [20%@1190,17%@1190,22%@1190,17%@1190,21%@1190,21%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40C thermal@40.15C Tboard@40C GPU 7696/7454 CPU 923/1023 SOC 4461/4382 CV 0/0 VDDRQ 2308/2290 SYS5V 4702/4676
RAM 5533/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [16%@1420,20%@1420,32%@1420,23%@1420,17%@1420,14%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40C thermal@40.15C Tboard@40C GPU 7545/7457 CPU 923/1021 SOC 4461/4383 CV 0/0 VDDRQ 2308/2290 SYS5V 4662/4676
RAM 5543/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [25%@1190,12%@1190,28%@1190,17%@1190,30%@1190,17%@1388,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7545/7458 CPU 1077/1022 SOC 4461/4385 CV 0/0 VDDRQ 2308/2290 SYS5V 4702/4677
RAM 5532/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [17%@1190,15%@1190,19%@1190,17%@1190,22%@1190,27%@1190,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7545/7460 CPU 923/1020 SOC 4461/4387 CV 0/0 VDDRQ 2308/2291 SYS5V 4702/4677
RAM 5531/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [22%@1420,24%@1420,21%@1420,23%@1420,17%@1420,22%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 6% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7542/7462 CPU 1077/1021 SOC 4461/4388 CV 0/0 VDDRQ 2307/2291 SYS5V 4702/4678
RAM 5543/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [23%@1420,22%@1420,26%@1189,10%@1190,20%@1323,17%@1340,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@46C Tdiode@44.5C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7391/7461 CPU 1077/1022 SOC 4461/4390 CV 0/0 VDDRQ 2308/2291 SYS5V 4702/4678
RAM 5533/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [28%@1340,20%@1340,27%@1340,17%@1340,14%@1410,19%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7391/7459 CPU 1077/1023 SOC 4461/4391 CV 0/0 VDDRQ 2308/2292 SYS5V 4662/4678
RAM 5533/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [19%@1420,25%@1420,16%@1420,23%@1420,17%@1420,23%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7388/7458 CPU 1077/1024 SOC 4461/4393 CV 0/0 VDDRQ 2308/2292 SYS5V 4702/4678
RAM 5532/31919MB (lfb 3933x4MB) SWAP 0/15959MB (cached 0MB) CPU [20%@1420,20%@1420,21%@1420,29%@1420,26%@1420,13%@1420,off,off] EMC_FREQ 42%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@47C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7388/7456 CPU 1077/1025 SOC 4461/4394 CV 0/0 VDDRQ 2307/2292 SYS5V 4702/4679
RAM 5544/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [21%@1420,19%@1420,19%@1420,14%@1420,26%@1420,25%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 99%@905 APE 150 MTS fg 0% bg 4% AO@38.5C GPU@42C iwlwifi@44C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@40.5C thermal@40.15C Tboard@40C GPU 7391/7455 CPU 1077/1026 SOC 4461/4395 CV 0/0 VDDRQ 2308/2293 SYS5V 4662/4678
RAM 5545/31919MB (lfb 3931x4MB) SWAP 0/15959MB (cached 0MB) CPU [14%@1420,11%@1420,20%@1420,17%@1420,24%@1420,32%@1420,off,off] EMC_FREQ 41%@2133 GR3D_FREQ 93%@905 APE 150 MTS fg 0% bg 5% AO@38.5C GPU@42C iwlwifi@47C Tdiode@44.75C PMIC@100C AUX@38.5C CPU@41C thermal@40.3C Tboard@40C GPU 7542/7457 CPU 1077/1027 SOC 4461/4397 CV 0/0 VDDRQ 2308/2293 SYS5V 4702/4679
