node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual2/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.00%, 0.00%),             6us (0.04%, 0.00%),             0us (0.00%, 0.00%),             6us (0.15%, 0.01%)
import/darknet/residual12/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.04%, 0.00%),             0us (0.00%, 0.00%),             5us (0.14%, 0.01%)
import/darknet/residual9/conv2/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.04%, 0.00%),             0us (0.00%, 0.00%),             5us (0.14%, 0.01%)
import/darknet/residual11/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.04%, 0.00%),             0us (0.00%, 0.00%),             5us (0.13%, 0.01%)
import/conv55/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             5us (0.04%, 0.00%),             0us (0.00%, 0.00%),             5us (0.12%, 0.01%)
import/conv58/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.12%, 0.01%)
import/darknet/residual9/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.11%, 0.01%)
import/darknet/conv43/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.11%, 0.01%)
_retval_import/pred_mbbox/concat_2_0_1             0B (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.10%, 0.01%)
import/darknet/residual10/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.09%, 0.01%)
import/darknet/residual12/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.03%, 0.00%),             0us (0.00%, 0.00%),             5us (0.09%, 0.01%)
import/conv59/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.08%, 0.01%)
import/darknet/residual22/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.08%, 0.01%)
import/conv_sobj_branch/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.07%, 0.01%)
import/darknet/residual21/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.07%, 0.01%)
import/conv53/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.06%, 0.01%)
import/darknet/residual20/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.02%, 0.00%),             0us (0.00%, 0.00%),             5us (0.05%, 0.01%)
import/conv_mobj_branch/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.05%, 0.01%)
import/darknet/residual3/conv2/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.04%, 0.01%)
import/conv52/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         2.05KB (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.04%, 0.01%)
import/conv_lobj_branch/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         4.10KB (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.03%, 0.01%)
import/darknet/residual18/conv1/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.02%, 0.01%)
import/darknet/conv4/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer           512B (0.00%, 0.00%),             5us (0.01%, 0.00%),             0us (0.00%, 0.00%),             5us (0.02%, 0.01%)
import/darknet/residual15/conv1/batch_normalization/FusedBatchNormV3-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.00%, 0.00%),             0us (0.00%, 0.00%),             5us (0.01%, 0.01%)
import/conv62/batch_normalization/FusedBatchNormV3/Mul-1-ReshapeNHWCToNCHW-LayoutOptimizer         1.02KB (0.00%, 0.00%),             5us (0.00%, 0.00%),             0us (0.00%, 0.00%),             5us (0.01%, 0.01%)

