node name | requested bytes | total execution time | accelerator execution time | cpu execution time
Conv2D                      1015.29MB (100.00%, 61.17%),     215.96ms (100.00%, 74.32%),     170.59ms (100.00%, 82.80%),      45.37ms (100.00%, 53.65%)
import/darknet/residual2/conv2/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (9.56%, 0.17%),           119us (5.38%, 0.04%),            54us (2.66%, 0.03%),           65us (12.01%, 0.08%)
import/conv58/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.42MB (9.39%, 0.15%),           118us (5.34%, 0.04%),            50us (2.64%, 0.02%),           68us (11.93%, 0.08%)
import/conv59/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           118us (5.30%, 0.04%),            34us (2.61%, 0.02%),           84us (11.85%, 0.10%)
import/darknet/residual5/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           117us (5.26%, 0.04%),            32us (2.60%, 0.02%),           85us (11.75%, 0.10%)
import/conv_sbbox/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (9.25%, 0.17%),           117us (5.22%, 0.04%),            54us (2.58%, 0.03%),           63us (11.65%, 0.07%)
import/darknet/residual8/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         1.38MB (9.08%, 0.08%),           116us (5.18%, 0.04%),            33us (2.55%, 0.02%),           83us (11.57%, 0.10%)
import/darknet/residual2/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (9.00%, 0.17%),           116us (5.14%, 0.04%),            53us (2.54%, 0.03%),           63us (11.48%, 0.07%)
import/darknet/conv9/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (8.83%, 0.17%),           116us (5.10%, 0.04%),            57us (2.51%, 0.03%),           59us (11.40%, 0.07%)
import/darknet/residual1/conv1/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (8.66%, 0.17%),           114us (5.06%, 0.04%),            55us (2.48%, 0.03%),           59us (11.33%, 0.07%)
import/darknet/residual9/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (8.49%, 0.17%),           112us (5.02%, 0.04%),            57us (2.46%, 0.03%),           55us (11.26%, 0.07%)
import/darknet/residual9/conv1/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         2.77MB (8.33%, 0.17%),           111us (4.98%, 0.04%),            60us (2.43%, 0.03%),           51us (11.20%, 0.06%)
import/darknet/residual1/conv1/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           111us (4.94%, 0.04%),            55us (2.40%, 0.03%),           56us (11.14%, 0.07%)
import/conv65/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (8.16%, 0.17%),           110us (4.91%, 0.04%),            58us (2.37%, 0.03%),           52us (11.07%, 0.06%)
import/darknet/residual4/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (7.99%, 0.17%),           110us (4.87%, 0.04%),            54us (2.35%, 0.03%),           56us (11.01%, 0.07%)
import/darknet/residual4/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           109us (4.83%, 0.04%),            57us (2.32%, 0.03%),           52us (10.94%, 0.06%)
import/darknet/conv43/Conv2D-0-TransposeNHWCToNCHW-LayoutOptimizer         1.61MB (7.83%, 0.10%),           109us (4.79%, 0.04%),            35us (2.29%, 0.02%),           74us (10.88%, 0.09%)
import/darknet/residual8/conv2/batch_normalization/FusedBatchNormV3-0-0-TransposeNCHWToNHWC-LayoutOptimizer         2.77MB (7.73%, 0.17%),           109us (4.75%, 0.04%),            55us (2.28%, 0.03%),           54us (10.79%, 0.06%)
import/darknet/residual3/conv2/batch_normalization/FusedBatchNormV3/Mul             0B (0.00%, 0.00%),           109us (4.72%, 0.04%),            55us (2.25%, 0.03%),           54us (10.73%, 0.06%)
edge_1015_import/pred_mbbox/strided_slice_10@@MemcpyHtoD             0B (0.00%, 0.00%),           109us (4.68%, 0.04%),           109us (2.22%, 0.05%),            0us (10.67%, 0.00%)
