time_stamp,Month,Average 60 m temperature,Average 60 m wind speed,Vector-averaged 60 m wind speed,Vector-averaged 60 m wind direction,Standard deviation of 60 m wind direction,Total precipitaion for the period,Estimated heat flux,Estimated friction velocity,Average 10 m temperature,Average 10 m wind speed,Vector-averaged 10 m wind speed,Vector-averaged 10 m wind direction,Standard deviation of 10 m wind direction,Average global irrradiation,Average net radiation,Estimated surface roughness length,day_month,Average 10 m vapor pressure,Average 10 m dew point temperature,hour_min,time_stamp,target,p_target
2020_01_01_22_45,01,4.5901,834.86,823.11,201.64,9.6058,0.0,0.0,49.97,4.6284,610.99,592.72,205.3,14.005999999999998,0.0,-41.881,6.71,01,0.539,-1.733,22_45,2020_01_01_22_45,0,0
2020_01_01_23_00,01,4.6367,863.92,853.28,201.91,8.9917,0.0,0.0,57.21,4.6976,609.67,596.86,206.78,11.742,0.0,-42.258,12.74,01,0.5329999999999999,-1.8735,23_00,2020_01_01_23_00,0,0
2020_01_01_23_15,01,4.6103,853.39,841.4,201.03,9.6009,0.0,0.0,53.65,4.679,614.08,597.92,202.66,13.139000000000001,0.0,-42.725,9.23,01,0.53,-1.9567,23_15,2020_01_01_23_15,0,0
2020_01_01_23_30,01,4.5456,872.41,860.68,202.15,9.3908,0.0,0.0,56.32,4.6111,621.84,606.91,203.72,12.550999999999998,0.0,-43.053000000000004,10.88,01,0.537,-1.7745,23_30,2020_01_01_23_30,0,0
2020_01_01_23_45,01,4.4196,913.34,901.19,203.6,9.3388,0.0,0.0,59.53,4.5056,649.17,634.87,205.96,12.024000000000001,0.0,-43.474,11.5,01,0.535,-1.8273,23_45,2020_01_01_23_45,0,0
2020_01_01_00_00,01,4.2893,854.72,844.5,203.87,8.8583,0.0,0.0,61.27,4.3426,583.15,570.09,206.98,12.12,0.0,-43.693000000000005,20.3,01,0.53,-1.9534,00_00,2020_01_01_00_00,0,0
2020_01_02_00_15,01,4.155,845.33,832.68,202.08,9.9107,0.0,0.0,55.16,4.257,599.56,586.02,207.63,12.171,0.0,-43.636,11.69,02,0.53,-1.9532,00_15,2020_01_02_00_15,0,0
2020_01_02_00_30,01,4.0613,829.65,816.42,203.6,10.227,0.0,0.0,58.1,4.1238,571.48,556.85,206.81,12.959000000000001,0.0,-43.886,17.83,02,0.5329999999999999,-1.8832,00_30,2020_01_02_00_30,0,0
2020_01_02_00_45,01,4.0776,875.85,863.11,204.07,9.767,0.0,0.0,60.73,4.1519,606.56,594.96,207.63,11.204,0.0,-43.888000000000005,16.74,02,0.537,-1.7863,00_45,2020_01_02_00_45,0,0
2020_01_02_01_00,01,4.0935,851.25,838.95,204.87,9.7366,0.0,0.0,55.89,4.1678,602.36,585.71,209.45,13.465,0.0,-44.133,12.13,02,0.537,-1.7901,01_00,2020_01_02_01_00,0,0
2020_01_02_01_15,01,4.1467,831.72,819.66,206.47,9.755,0.0,0.0,51.28,4.2374,602.06,589.55,208.15,11.677,0.0,-44.63,8.19,02,0.5379999999999999,-1.7537,01_15,2020_01_02_01_15,0,0
2020_01_02_01_30,01,4.0874,785.3,772.69,205.45,10.267000000000001,0.0,0.0,51.85,4.1568,553.23,540.59,206.39,12.245,0.0,-45.141000000000005,12.7,02,0.542,-1.6486,01_30,2020_01_02_01_30,0,0
2020_01_02_01_45,01,4.0174,832.39,821.58,202.13,9.2283,0.0,0.0,50.13,4.1219,607.5,595.32,205.25,11.468,0.0,-44.868,7.02,02,0.545,-1.5687,01_45,2020_01_02_01_45,0,0
2020_01_02_02_00,01,3.9682,832.49,821.05,202.83,9.4956,0.0,0.0,56.65,4.06,580.29,567.87,209.51,11.849,0.0,-45.383,15.1,02,0.544,-1.6156,02_00,2020_01_02_02_00,0,0
2020_01_02_02_15,01,3.9147,828.68,819.73,205.76,8.4201,0.0,0.0,52.29,4.0053,594.72,585.32,208.78,10.187000000000001,0.0,-45.463,9.52,02,0.5429999999999999,-1.622,02_15,2020_01_02_02_15,0,0
2020_01_02_02_30,01,4.0035,826.78,818.12,207.36,8.2898,0.0,0.0,56.11,4.0705,576.83,563.14,211.87,12.479000000000001,0.0,-45.583,14.88,02,0.542,-1.6621,02_30,2020_01_02_02_30,0,0
2020_01_02_02_45,01,3.8609,777.47,769.4,208.55,8.2523,0.0,0.0,59.16,3.9033,514.64,505.49,209.46,10.797,0.0,-45.809,28.42,02,0.5429999999999999,-1.6383,02_45,2020_01_02_02_45,0,0
2020_01_02_03_00,01,3.8319,814.05,802.73,208.67,9.5521,0.0,0.0,57.27,3.8831,559.2,546.81,211.17,12.058,0.0,-45.799,18.37,02,0.5429999999999999,-1.6341,03_00,2020_01_02_03_00,0,0
2020_01_02_03_15,01,3.7375,781.22,772.65,207.65,8.4816,0.0,0.0,61.99,3.766,506.37,496.32,210.75,11.412,0.0,-45.993,35.31,02,0.542,-1.6406,03_15,2020_01_02_03_15,0,0
2020_01_02_03_30,01,3.6467,797.82,787.08,208.13,9.3962,0.0,0.0,60.26,3.6981,530.28,518.15,209.82,12.253,0.0,-46.251000000000005,27.27,02,0.542,-1.6408,03_30,2020_01_02_03_30,0,0
2020_01_02_03_45,01,3.6022,784.14,775.97,208.78,8.269,0.0,0.0,48.91,3.7075,564.01,547.43,211.72,13.886,0.0,-46.692,8.94,02,0.542,-1.6548,03_45,2020_01_02_03_45,0,0
2020_01_02_04_00,01,3.5322,831.17,821.93,207.98,8.5412,0.0,0.0,51.83,3.6388,598.92,587.25,211.15,11.305,0.0,-47.381,8.83,02,0.5429999999999999,-1.6247,04_00,2020_01_02_04_00,0,0
