RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [85%@2262,11%@2262,7%@2263,7%@2263,6%@2263,11%@2262,24%@2262,26%@2263] EMC_FREQ 49%@2133 GR3D_FREQ 30%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@41C Tboard@39C GPU 16107/16030 CPU 2455/2538 SOC 4297/4281 CV 0/0 VDDRQ 2609/2589 SYS5V 4472/4454
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [84%@2263,14%@2263,7%@2263,18%@2263,9%@2263,4%@2263,24%@2263,28%@2263] EMC_FREQ 49%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41.5C thermal@41C Tboard@39C GPU 16107/16032 CPU 2609/2540 SOC 4297/4282 CV 0/0 VDDRQ 2607/2589 SYS5V 4472/4454
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2262,10%@2263,6%@2263,11%@2263,5%@2263,6%@2263,23%@2263,24%@2263] EMC_FREQ 48%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@41C Tboard@39C GPU 15347/16012 CPU 2456/2537 SOC 4299/4282 CV 0/0 VDDRQ 2456/2585 SYS5V 4432/4453
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [87%@2263,7%@2263,5%@2263,7%@2263,14%@2263,11%@2263,27%@2263,27%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 97%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41.5C thermal@40.85C Tboard@39C GPU 14886/15981 CPU 2610/2539 SOC 4145/4278 CV 0/0 VDDRQ 2456/2582 SYS5V 4392/4452
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [85%@2263,11%@2263,4%@2263,9%@2263,12%@2263,14%@2263,19%@2262,23%@2263] EMC_FREQ 48%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.7C Tboard@39C GPU 15647/15972 CPU 2609/2541 SOC 4297/4279 CV 0/0 VDDRQ 2609/2583 SYS5V 4432/4451
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2262,10%@2262,6%@2262,6%@2262,6%@2262,7%@2262,24%@2262,23%@2262] EMC_FREQ 47%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@41C Tboard@39C GPU 14892/15944 CPU 2457/2539 SOC 4145/4275 CV 0/0 VDDRQ 2457/2579 SYS5V 4392/4450
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2263,12%@2263,5%@2263,5%@2263,14%@2263,17%@2263,21%@2263,22%@2263] EMC_FREQ 46%@2133 GR3D_FREQ 67%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@45C PMIC@100C AUX@38C CPU@41.5C thermal@40.7C Tboard@39C GPU 14739/15913 CPU 2610/2541 SOC 4145/4272 CV 0/0 VDDRQ 2457/2576 SYS5V 4392/4448
RAM 6117/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [84%@2263,12%@2263,4%@2263,3%@2263,16%@2262,11%@2263,20%@2263,21%@2263] EMC_FREQ 48%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44C Tdiode@45C PMIC@100C AUX@38C CPU@41.5C thermal@40.7C Tboard@39C GPU 15500/15902 CPU 2455/2539 SOC 4299/4273 CV 0/0 VDDRQ 2609/2577 SYS5V 4432/4448
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [88%@2263,9%@2263,9%@2262,6%@2262,6%@2264,7%@2263,29%@2263,23%@2263] EMC_FREQ 45%@2133 GR3D_FREQ 14%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@43.5C Tdiode@44.75C PMIC@100C AUX@38C CPU@41C thermal@40.7C Tboard@39C GPU 14284/15863 CPU 2304/2533 SOC 3995/4266 CV 0/0 VDDRQ 2304/2570 SYS5V 4313/4444
RAM 6116/31919MB (lfb 4799x4MB) SWAP 0/15959MB (cached 0MB) CPU [86%@2263,10%@2263,7%@2263,3%@2263,6%@2263,13%@2263,31%@2263,29%@2263] EMC_FREQ 47%@2133 GR3D_FREQ 99%@1377 APE 150 MTS fg 0% bg 0% AO@39C GPU@44C Tdiode@44.75C PMIC@100C AUX@38C CPU@41.5C thermal@41C Tboard@39C GPU 15347/15851 CPU 2609/2535 SOC 4297/4267 CV 0/0 VDDRQ 2455/2567 SYS5V 4432/4444
